,SPY,AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,FB,NVDA,BRK-B,JPM,JNJ,UNH,HD,PG,V,BAC,MA,PFE,XOM,DIS,CSCO,AVGO,ADBE,CVX,PEP,TMO,KO,ABBV,CMCSA,NFLX,ABT,ACN,COST,CRM,INTC,WFC,VZ,PYPL,WMT,QCOM,MRK,LLY,MCD,T,NKE,DHR,LOW,LIN,TXN,NEE,AMD,UNP,PM,INTU,UPS,HON,MS,MDT,BMY,AMAT,ORCL,SCHW,CVS,RTX,C,GS,AMGN,BLK,BA,CAT,IBM,SBUX,AMT,PLD,GE,ISRG,COP,TGT,ANTM,AXP,DE,MU,SPGI,MMM,NOW,BKNG,F,ADP,ZTS,LRCX,PNC,MDLZ,MO,ADI,GILD,LMT,SYK,GM,TFC,TJX
SPY,8.411069089105855e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,0.00010694566178389442,0.0002687523028453824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,0.00012176087090965884,0.00019753166457453882,0.0002911575019401163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMZN,9.251940788957362e-05,0.00017111372172873334,0.00014919290832408834,0.00023300425181157618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSLA,0.00023059971042842473,0.00043276498333799624,0.0004085903076424222,0.0003032354188132238,0.0020023986512726064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOGL,0.00010653393662741306,0.0001457817091689887,0.00020576881354743284,0.0001410691595424102,0.0002858599731086732,0.00022306063269112583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOG,0.00010630442547235738,0.00014790310660884218,0.00020297646079650892,0.00014289064538569355,0.0002886573501259459,0.00021868614760297834,0.00021721334864008548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB,0.00012122031748153573,0.00014260569885572418,0.00018051903239717936,0.0001597932270582576,0.00029567008468360626,0.00015170331325082943,0.00015361596350439786,0.0003695347162133058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVDA,0.00024103408401857305,0.00037325923477509067,0.0004065501327998155,0.0003851023226084174,0.0008878518766422079,0.00035659595859386636,0.0003541033748531298,0.00033714918396398,0.0013054205327569033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRK-B,2.6276100962367048e-05,-9.262960126046495e-06,-4.443539109184982e-06,-8.172565418994264e-06,-4.0880235555490344e-05,7.740581655297605e-06,6.684645018063227e-06,4.195707360081485e-05,-2.7167010560198924e-05,9.557734426410985e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPM,5.1268408987827144e-05,1.5239881313754862e-05,-2.6584001299425013e-05,-2.108035921154234e-06,6.171486531967197e-05,2.8212412118338635e-05,3.150811715649589e-05,1.358485687690685e-05,2.4572634467486237e-05,8.573609862348313e-05,0.00029555156395706737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
